Email,Username,Password, FirstName, LastName, T&C
bankingautomation001@mailinator.com,bankingautomation001,Pass@123,naveen,kumar,YES
bankingautomation003@mailinator.com,bankingautomation003,Pass@123,naveen,kumar,YES
bankingautomation006@mailinator.com,bankingautomation006,Pass@123,naveen,kumar,YES
bankingautomation006@mailinator.com,bankingautomation006,Pass@123,naveen,kumar,YES
bankingautomation010@mailinator.com,bankingautomation010,Pass@123,Mike,Tyson,YES
bankingautomation011@mailinator.com,bankingautomation011,Pass@123,Mike,Tyson,YES
bankingautomation014@mailinator.com,bankingautomation014,Pass@123,James,Smith,YES
bankingautomation018@mailinator.com,bankingautomation018,Pass@123,James,Smith,YES
bankingautomation019@mailinator.com,bankingautomation019,Pass@123,James,Smith,YES
bankingautomation020@mailinator.com,bankingautomation020,Pass@123,James,Smith,YES
bankingautomation025@mailinator.com,bankingautomation025,Pass@123,James,Smith,YES
bankingautomation026@mailinator.com,bankingautomation026,Pass@123,James,Smith,YES
