Username,Password, FirstName, LastName, Email
newbankregistrationviaemail4,Tester@123,automation,automation,newbankregistrationviaemail4@mailinator.com
newbankregistrationviaemail5,Tester@123,automation,automation,newbankregistrationviaemail5@mailinator.com
newbankregistrationviaemail6,Tester@123,automation,automation,newbankregistrationviaemail6@mailinator.com
newbankregistrationviaemail7,Tester@123,automation,automation,newbankregistrationviaemail7@mailinator.com
newbankregistrationviaemail8,Tester@123,automation,automation,newbankregistrationviaemail8@mailinator.com
newbankregistrationviaemail9,Tester@123,automation,automation,newbankregistrationviaemail9@mailinator.com
newbankregistrationviaemail10,Tester@123,automation,automation,newbankregistrationviaemail10@mailinator.com
newbankregistrationviaemail11,Tester@123,automation,automation,newbankregistrationviaemail11@mailinator.com
newbankregistrationviaemail12,Tester@123,automation,automation,newbankregistrationviaemail12@mailinator.com
newbankregistrationviaemail13,Tester@123,automation,automation,newbankregistrationviaemail13@mailinator.com
newbankregistrationviaemail14,Tester@123,automation,automation,newbankregistrationviaemail14@mailinator.com
newbankregistrationviaemail15,Tester@123,automation,automation,newbankregistrationviaemail15@mailinator.com
newbankregistrationviaemail16,Tester@123,automation,automation,newbankregistrationviaemail16@mailinator.com
newbankregistrationviaemail17,Tester@123,automation,automation,newbankregistrationviaemail17@mailinator.com
newbankregistrationviaemail18,Tester@123,automation,automation,newbankregistrationviaemail18@mailinator.com
newbankregistrationviaemail19,Tester@123,automation,automation,newbankregistrationviaemail19@mailinator.com
newbankregistrationviaemail20,Tester@123,automation,automation,newbankregistrationviaemail20@mailinator.com
newbankregistrationviaemail21,Tester@123,automation,automation,newbankregistrationviaemail21@mailinator.com
newbankregistrationviaemail22,Tester@123,automation,automation,newbankregistrationviaemail22@mailinator.com
newbankregistrationviaemail23,Tester@123,automation,automation,newbankregistrationviaemail23@mailinator.com
newbankregistrationviaemail24,Tester@123,automation,automation,newbankregistrationviaemail24@mailinator.com
newbankregistrationviaemail25,Tester@123,automation,automation,newbankregistrationviaemail25@mailinator.com
newbankregistrationviaemail26,Tester@123,automation,automation,newbankregistrationviaemail26@mailinator.com
newbankregistrationviaemail27,Tester@123,automation,automation,newbankregistrationviaemail27@mailinator.com
newbankregistrationviaemail28,Tester@123,automation,automation,newbankregistrationviaemail28@mailinator.com
newbankregistrationviaemail29,Tester@123,automation,automation,newbankregistrationviaemail29@mailinator.com
newbankregistrationviaemail30,Tester@123,automation,automation,newbankregistrationviaemail30@mailinator.com
newbankregistrationviaemail31,Tester@123,automation,automation,newbankregistrationviaemail31@mailinator.com
newbankregistrationviaemail32,Tester@123,automation,automation,newbankregistrationviaemail32@mailinator.com
newbankregistrationviaemail33,Tester@123,automation,automation,newbankregistrationviaemail33@mailinator.com
newbankregistrationviaemail34,Tester@123,automation,automation,newbankregistrationviaemail34@mailinator.com
newbankregistrationviaemail35,Tester@123,automation,automation,newbankregistrationviaemail35@mailinator.com
newbankregistrationviaemail36,Tester@123,automation,automation,newbankregistrationviaemail36@mailinator.com
newbankregistrationviaemail37,Tester@123,automation,automation,newbankregistrationviaemail37@mailinator.com
newbankregistrationviaemail400,Tester@123,automation,automation,newbankregistrationviaemail400@mailinator.com
newbankregistrationviaemail401,Tester@123,automation,automation,newbankregistrationviaemail401@mailinator.com
newbankregistrationviaemail402,Tester@123,automation,automation,newbankregistrationviaemail402@mailinator.com
newbankregistrationviaemail403,Tester@123,automation,automation,newbankregistrationviaemail403@mailinator.com
newbankregistrationviaemail404,Tester@123,automation,automation,newbankregistrationviaemail404@mailinator.com
newbankregistrationviaemail405,Tester@123,automation,automation,newbankregistrationviaemail405@mailinator.com
newbankregistrationviaemail406,Tester@123,automation,automation,newbankregistrationviaemail406@mailinator.com
newbankregistrationviaemail407,Tester@123,automation,automation,newbankregistrationviaemail407@mailinator.com
newbankregistrationviaemail408,Tester@123,automation,automation,newbankregistrationviaemail408@mailinator.com
newbankregistrationviaemail409,Tester@123,automation,automation,newbankregistrationviaemail409@mailinator.com
newbankregistrationviaemail410,Tester@123,automation,automation,newbankregistrationviaemail410@mailinator.com
newbankregistrationviaemail411,Tester@123,automation,automation,newbankregistrationviaemail411@mailinator.com
newbankregistrationviaemail412,Tester@123,automation,automation,newbankregistrationviaemail412@mailinator.com
newbankregistrationviaemail413,Tester@123,automation,automation,newbankregistrationviaemail413@mailinator.com
newbankregistrationviaemail414,Tester@123,automation,automation,newbankregistrationviaemail414@mailinator.com
newbankregistrationviaemail415,Tester@123,automation,automation,newbankregistrationviaemail415@mailinator.com
newbankregistrationviaemail416,Tester@123,automation,automation,newbankregistrationviaemail416@mailinator.com
newbankregistrationviaemail417,Tester@123,automation,automation,newbankregistrationviaemail417@mailinator.com
newbankregistrationviaemail418,Tester@123,automation,automation,newbankregistrationviaemail418@mailinator.com
newbankregistrationviaemail419,Tester@123,automation,automation,newbankregistrationviaemail419@mailinator.com
newbankregistrationviaemail420,Tester@123,automation,automation,newbankregistrationviaemail420@mailinator.com
newbankregistrationviaemail421,Tester@123,automation,automation,newbankregistrationviaemail421@mailinator.com
newbankregistrationviaemail422,Tester@123,automation,automation,newbankregistrationviaemail422@mailinator.com
newbankregistrationviaemailnaveen423,Tester@123,automation,automation,newbankregistrationviaemailnaveen423@mailinator.com
