Username,Password, FirstName, LastName, Email, NewsLetters
retailautomation22@mailinator.com,Tester99,automation,automation,retailautomation22@mailinator.com,NO
retailautomation23@mailinator.com,Tester99,automation,automation,retailautomation23@mailinator.com,NO
retailautomation24@mailinator.com,Tester99,automation,automation,retailautomation24@mailinator.com,NO
retailautomation25@mailinator.com,Tester99,automation,automation,retailautomation25@mailinator.com,NO
retailautomation26@mailinator.com,Tester99,automation,automation,retailautomation26@mailinator.com,NO
retailautomation51@mailinator.com,Tester99,automation,automation,retailautomation51@mailinator.com,NO
retailautomation52@mailinator.com,Tester99,automation,automation,retailautomation52@mailinator.com,NO
retailautomation53@mailinator.com,Tester99,automation,automation,retailautomation53@mailinator.com,NO
retailautomation54@mailinator.com,Tester99,automation,automation,retailautomation54@mailinator.com,NO
retailautomation60@mailinator.com,Tester99,automation,automation,retailautomation60@mailinator.com,NO
retailautomation067@mailinator.com,Tester99,automation,automation,retailautomation067@mailinator.com,NO
retailautomation068@mailinator.com,Tester99,automation,automation,retailautomation068@mailinator.com,NO
automationciamsgo1@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo2@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo3@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo4@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo5@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo6@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo7@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo8@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo9@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo10@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo11@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo12@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo13@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo14@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo15@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo16@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo17@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo18@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo19@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo20@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo21@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo23@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo24@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo25@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo26@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo27@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo28@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo29@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo30@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo31@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo32@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo36@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo38@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo39@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo40@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo41@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo42@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgo43@mailinator.com,Tester99,automation,automation,automationciamsgo@mailinator.com,NO
automationciamsgoprogressive045@mailinator.com,Tester99,Robinson,Padilla,automationciamsgoprogressive0@mailinator.com,NO
automationciamsgoprogressive047@mailinator.com,Tester99,Robinson,Padilla,automationciamsgoprogressive0@mailinator.com,NO
automationciamsgoprogressive51@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive52@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive53@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive54@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive55@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive58@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive59@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
automationciamsgoprogressive60@mailinator.com,Tester99,automationciamsgoprogressive@mailinator.com,NO
