RoleType, email, FirstName, LastName, UserName, TermsAndConditions, ReceiveEmailsDecision
Patient,majormovie2@mailinator.com,majormovie,test,majormovie2,true,NO
Patient,majormovie3@mailinator.com,majormovie,test,majormovie4,true,NO
Patient,majormovie8@mailinator.com,majormovie,test,majormovie8,true,NO
Patient,majormovie2@mailinator.com,majormovie,test,majormovie2,true,NO
Doctor,nopainnogain2@mailinator.com,nopain,nogain,nopainnogain2,true,NO
Partner User,usefuluser@mailinator.com,useful,user,usefuluser,true,NO
Partner Admin,msdhoni@yahoo.com,msdhoni,cricketer,msdhoni,true,NO
App Admin,automationmail@gmail.com,google,test,automationmail,true,NO
Doctor,doctorcheck1@mailinator.com,naveen,kumar,doctorcheck1,true,NO
Partner User,partnerusercheck1@mailinator.com,naveen,kumar,partnerusercheck1,true,NO
Partner Admin,partneradmincheck1@mailinator.com,naveen,kumar,partneradmincheck1,true,NO
App Admin,appadmin1@mailinator.com,naveen,kumar,appadmin1,true,NO
Patient,majormovie10@mailinator.com,majormovie,test,majormovie8,true,NO
Doctor,majormovie4@mailinator.com,majormovie,test,majormovie4,true,NO
Partner User,majormovie5@mailinator.com,majormovie,test,majormovie5,true,NO
Partner Admin,majormovie6@mailinator.com,majormovie,test,majormovie6,true,NO
App Admin,majormovie7@mailinator.com,majormovie,test,majormovie7,true,NO
Patient,majormovie11@mailinator.com,majormovie,test,majormovie11,true,NO
Doctor,doctorcheck12@mailinator.com,naveen,kumar,doctorcheck12,true,NO
Patient,majormovie13@mailinator.com,majormovie,test,majormovie13,true,NO
Doctor,majormovie14@mailinator.com,majormovie,test,majormovie14,true,NO
Partner User,majormovie15@mailinator.com,majormovie,test,majormovie15,true,NO
Partner Admin,majormovie16@mailinator.com,majormovie,test,majormovie16,true,NO
App Admin,majormovie17@mailinator.com,majormovie,test,majormovie17,true,NO
Patient,majormovie23@mailinator.com,majormovie,test,majormovie23,true,NO
Doctor,doctorcheck22@mailinator.com,naveen,kumar,doctorcheck22,true,NO
Patient,majormovie21@mailinator.com,majormovie,test,majormovie21,true,NO
Doctor,majormovie20@mailinator.com,majormovie,test,majormovie20,true,NO
Partner User,majormovie19@mailinator.com,majormovie,test,majormovie19,true,NO
Partner Admin,majormovie16@mailinator.com,majormovie,test,majormovie16,true,NO
App Admin,majormovie18@mailinator.com,majormovie,test,majormovie18,true,NO
Patient,majormovie25@mailinator.com,majormovie,test,majormovie25,true,NO
Doctor,doctorcheck26@mailinator.com,naveen,kumar,doctorcheck26,true,NO
Patient,majormovie27@mailinator.com,majormovie,test,majormovie27,true,NO
Partner User,majormovie29@mailinator.com,majormovie,test,majormovie29,true,NO
Partner Admin,majormovie30@mailinator.com,majormovie,test,majormovie30,true,NO
App Admin,majormovie31@mailinator.com,majormovie,test,majormovie31,true,NO
Patient,majormovie36@mailinator.com,majormovie,test,majormovie36,true,NO
Doctor,doctorcheck29@mailinator.com,naveen,kumar,doctorcheck29,true,NO
Patient,majormovie30@mailinator.com,majormovie,test,majormovie30,true,NO
Doctor,majormovie35@mailinator.com,majormovie,test,majormovie35,true,NO
Partner User,majormovie32@mailinator.com,majormovie,test,majormovie32,true,NO
Partner Admin,majormovie33@mailinator.com,majormovie,test,majormovie33,true,NO
App Admin,majormovie34@mailinator.com,majormovie,test,majormovie34,true,NO
Patient,majormovie43@mailinator.com,majormovie,test,majormovie43,true,NO
Patient,majormovie41@mailinator.com,majormovie,test,majormovie41,true,NO
Doctor,majormovie42@mailinator.com,majormovie,test,majormovie42,true,NO
Patient,majormovie45@mailinator.com,majormovie,test,majormovie45,true,NO
